Name, City
MA Chidambaram Stadium, Chepauk, Chennai
Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur
Eden Gardens, Kolkata
Sawai Mansingh Stadium, Jaipur
Narendra Modi Stadium, Ahmedabad
M Chinnaswamy Stadium, Bengaluru
MA Chidambaram Stadium, Chepauk, Chennai
Rajiv Gandhi International Stadium, Uppal, Hyderabad
Sawai Mansingh Stadium, Jaipur
M Chinnaswamy Stadium, Bengaluru
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
Narendra Modi Stadium, Ahmedabad
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
Wankhede Stadium, Mumbai
M Chinnaswamy Stadium, Bengaluru
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
Narendra Modi Stadium, Ahmedabad
Rajiv Gandhi International Stadium, Uppal, Hyderabad
Sawai Mansingh Stadium, Jaipur
Wankhede Stadium, Mumbai
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
MA Chidambaram Stadium, Chepauk, Chennai
Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur
Sawai Mansingh Stadium, Jaipur
Wankhede Stadium, Mumbai
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur
Eden Gardens, Kolkata
Wankhede Stadium, Mumbai
M Chinnaswamy Stadium, Bengaluru
Eden Gardens, Kolkata
Narendra Modi Stadium, Ahmedabad
Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
Arun Jaitley Stadium, Delhi
Eden Gardens, Kolkata
Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur
Sawai Mansingh Stadium, Jaipur
MA Chidambaram Stadium, Chepauk, Chennai
Arun Jaitley Stadium, Delhi
Rajiv Gandhi International Stadium, Uppal, Hyderabad
Eden Gardens, Kolkata
Arun Jaitley Stadium, Delhi
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
Narendra Modi Stadium, Ahmedabad
MA Chidambaram Stadium, Chepauk, Chennai
Eden Gardens, Kolkata
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
MA Chidambaram Stadium, Chepauk, Chennai
Rajiv Gandhi International Stadium, Uppal, Hyderabad
Wankhede Stadium, Mumbai
M Chinnaswamy Stadium, Bengaluru
Himachal Pradesh Cricket Association Stadium, Dharamsala
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow
Wankhede Stadium, Mumbai
Arun Jaitley Stadium, Delhi
Rajiv Gandhi International Stadium, Uppal, Hyderabad
Himachal Pradesh Cricket Association Stadium, Dharamsala
Narendra Modi Stadium, Ahmedabad
Eden Gardens, Kolkata
MA Chidambaram Stadium, Chepauk, Chennai
M Chinnaswamy Stadium, Bengaluru
Narendra Modi Stadium, Ahmedabad
Arun Jaitley Stadium, Delhi
Barsapara Cricket Stadium, Guwahati
Rajiv Gandhi International Stadium, Uppal, Hyderabad
Wankhede Stadium, Mumbai
M Chinnaswamy Stadium, Bengaluru
Rajiv Gandhi International Stadium, Uppal, Hyderabad
Barsapara Cricket Stadium, Guwahati
Narendra Modi Stadium, Ahmedabad
Narendra Modi Stadium, Ahmedabad
MA Chidambaram Stadium, Chepauk, Chennai
MA Chidambaram Stadium, Chepauk, Chennai