id,name,playingRoles,teamId,teamName,match,wickets,economy,five_wicket,bolwing_strike_rate,best_bolling_performance,runs,batting_avg,high_score,batting_strike_rate,bowling_avg,credit,image_url
1131978,AR Sharma,allrounder,335973,PBKS,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380694.1.png"
721867,JM Sharma,wicketkeeper,335973,PBKS,9,0,,,,,100,14.28,35,147.05,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380690.1.png"
377534,Shashank Singh,allrounder,335973,PBKS,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380696.1.png"
1380113,Shivam Singh,allrounder,335973,PBKS,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381300/381366.3.png"
299572,Sikandar Raza,allrounder,335973,PBKS,102,79,6.88,2,19.8,5/18,2347,26.07,133*,137.17,22.78,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/392200/392219.2.png"
1354639,VP Singh,,335973,PBKS,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381300/381379.1.png"
1125958,A Taide,allrounder,335973,PBKS,0,0,,,,,,,,,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/358000/358044.1.png"
1080008,T Thyagarajan,bowler,335973,PBKS,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381300/381375.1.png"
297433,JM Bairstow,wicketkeeper,335973,PBKS,80,0,,,,,1671,29.83,90,137.53,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383157.1.png"
662973,SM Curran,allrounder,335973,PBKS,58,54,8.41,0,19.3,5/10,356,14.24,50,124.47,27.07,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383153.1.png"
403902,LS Livingstone,allrounder,335973,PBKS,60,33,8.72,0,17.4,3/17,955,25.13,103,148.98,25.39,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383152.1.png"
550215,K Rabada,bowler,335973,PBKS,65,71,8.3,0,19.6,3/18,156,17.33,22,110.63,27.15,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/320300/320376.1.png"
247235,CR Woakes,allrounder,335973,PBKS,33,31,8.07,0,19.7,3/4,147,16.33,37,125.64,26.51,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316600/316603.1.png"
425943,SV Samson,wicketkeeper,335977,RR,42,0,,,,,861,25.32,111,152.38,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322700/322701.1.png"
1201536,Abid Mushtaq,allrounder,335977,RR,0,0,,,,,,,,,,7,Image data not found
26421,R Ashwin,allrounder,335977,RR,65,72,6.9,2,20.1,4/8,184,26.28,31*,115,23.22,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/393300/393315.2.png"
694211,Avesh Khan,bowler,335977,RR,25,27,9.04,1,18.4,4/18,27,13.5,16,135,27.85,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322200/322244.1.png"
277912,TA Boult,bowler,335977,RR,61,83,7.68,2,16.7,4/13,58,8.28,16,90.62,21.43,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383185.1.png"
971349,N Burger,bowler,335977,RR,2,1,12.28,0,42,1/39,1,1,1,33.33,86,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/388400/388421.5.png"
308967,JC Buttler,wicketkeeper,335977,RR,134,0,,,,,3535,35.35,101*,146.61,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383143.1.png"
430246,YS Chahal,bowler,335977,RR,80,96,8.19,2,18.3,6/25,6,3,3*,46.15,25.09,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/319900/319955.1.png"
1252585,SB Dubey,batsmen,335977,RR,0,0,,,,,,,,,,7,Image data not found
698315,D Ferreira,allrounder,335977,RR,6,0,12.33,0,,,79,15.8,48,158,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/391700/391782.2.png"
670025,SO Hetmyer,batsmen,335977,RR,62,0,,,,,942,20.04,81*,118.49,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/320100/320116.1.png"
1151278,YBK Jaiswal,batsmen,335977,RR,23,0,11,0,,,723,36.15,100,164.31,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/340300/340309.1.png"
1175488,DC Jurel,wicketkeeper,335977,RR,4,0,,,,,12,4,6,52.17,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/340300/340310.1.png"
470633,T Kohler-Cadmore,wicketkeeper,335977,RR,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/325900/325917.1.png"
1125960,TK Kotian,allrounder,335977,RR,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/390300/390330.2.png"
267724,KA Maharaj,bowler,335977,RR,39,38,7.33,0,21.1,3/27,103,11.44,41,89.56,25.84,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322000/322072.1.png"
1079434,R Parag,batsmen,335977,RR,9,4,6.72,0,18.5,3/5,106,17.66,34,151.42,20.75,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/370900/370935.1.png"
820351,R Powell,batsmen,335977,RR,91,5,9.93,0,26.2,2/31,1747,25.69,107,140.32,43.4,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322100/322172.1.png"
1339031,KS Rathore,wicketkeeper,335977,RR,0,0,,,,,,,,,,7,Image data not found
700167,NA Saini,bowler,335977,RR,11,13,7.15,0,15.1,3/17,12,,11*,109.09,18.07,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322700/322702.1.png"
438362,Sandeep Sharma,bowler,335977,RR,2,1,10.42,0,42,1/39,1,,1*,100,73,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/323000/323055.1.png"
1163695,KR Sen,bowler,335977,RR,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378100/378133.1.png"
917159,M Prasidh Krishna,bowler,335977,RR,5,8,11,0,15,3/41,,,,,27.5,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/389500/389549.5.png"
379504,A Zampa,bowler,335977,RR,95,117,7.16,2,17.5,5/19,68,5.66,13*,89.47,21,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/321500/321549.1.png"
44828,F du Plessis,batsmen,335970,RCB,50,0,2.25,0,,,1528,35.53,119,134.38,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316500/316559.1.png"
1176959,Akash Deep,bowler,335970,RCB,0,0,,,,,,,,,,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356814.1.png"
1123073,Anuj Rawat,wicketkeeper,335970,RCB,0,0,,,,,,,,,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/359700/359757.1.png"
1057399,MS Bhandage,allrounder,335970,RCB,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/359700/359766.1.png"
1287369,SD Chauhan,batsmen,335970,RCB,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380688.1.png"
550235,TK Curran,allrounder,335970,RCB,30,29,9.25,1,20.2,4/36,64,10.66,14*,114.28,31.27,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/323100/323112.1.png"
942367,MJ Dagar,bowler,335970,RCB,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356822.1.png"
493773,LH Ferguson,bowler,335970,RCB,43,64,7.1,2,14.3,5/21,29,3.62,14,80.55,17,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383174.1.png"
1076713,C Green,allrounder,335970,RCB,13,12,8.9,0,15.6,3/35,263,26.3,62*,152.9,23.25,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/321500/321569.2.png"
897549,WG Jacks,allrounder,335970,RCB,23,1,13.66,0,18,1/5,383,18.23,40,136.78,41,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383155.1.png"
670031,AS Joseph,bowler,335970,RCB,38,54,8.67,2,15.5,5/40,121,17.28,21*,104.31,22.5,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/321900/321943.1.png"
30045,KD Karthik,wicketkeeper,335970,RCB,60,0,18,0,,,686,26.38,55,142.61,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/319900/319934.2.png"
253802,V Kohli,batsmen,335970,RCB,125,4,8.05,0,38,1/13,4188,48.69,122*,137.04,51,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316600/316605.3.png"
853265,MK Lomror,allrounder,335970,RCB,0,0,,,,,,,,,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/393200/393298.2.png"
325026,GJ Maxwell,allrounder,335970,RCB,116,43,8.04,0,22.9,3/10,2664,29.93,145*,154.97,30.72,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/389500/389563.5.png"
940973,Mohammed Siraj,bowler,335970,RCB,16,14,7.79,1,24.8,4/17,14,7,7*,87.5,32.28,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322600/322611.1.png"
823703,RM Patidar,batsmen,335970,RCB,0,0,,,,,,,,,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/390500/390563.2.png"
1083851,SS Prabhudessai,allrounder,335970,RCB,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/359700/359758.1.png"
1339027,Rajan Kumar,bowler,335970,RCB,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/359700/359762.1.png"
30288,KV Sharma,bowler,335970,RCB,1,1,7,0,24,1/28,,,,,28,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/324200/324221.1.png"
1350761,H Sharma,bowler,335970,RCB,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357624.4.jpg"
232292,Swapnil Singh,bowler,335970,RCB,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/384200/384254.1.png"
461632,RJW Topley,bowler,335970,RCB,35,33,8.31,0,21.3,3/22,17,8.5,9,85,29.63,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383150.1.png"
777815,V Vyshak,bowler,335970,RCB,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/390600/390654.2.png"
1159720,Yash Dayal,bowler,335970,RCB,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/387500/387586.4.png"
489889,PJ Cummins,bowler,628333,SRH,57,66,7.44,0,19,3/15,158,10.53,28,118.79,23.57,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/390900/390954.5.png"
1175485,Abdul Samad,batsmen,628333,SRH,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/339100/339145.1.png"
1070183,Abhishek Sharma,allrounder,628333,SRH,17,6,8.05,0,19,2/3,535,33.43,135,193.84,25.5,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/358000/358037.1.png"
398438,MA Agarwal,batsmen,628333,SRH,0,0,,,,,,,,,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/391200/391289.2.png"
1175458,Akash Singh,bowler,628333,SRH,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315000/315007.jpg"
851261,Anmolpreet Singh,batsmen,628333,SRH,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/358000/358038.1.png"
974175,Fazalhaq Farooqi,bowler,628333,SRH,43,54,6.7,1,17,5/9,12,4,4*,63.15,19.09,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383200/383236.1.png"
530011,TM Head,batsmen,628333,SRH,38,1,9.33,0,36,1/16,1093,33.12,91,160.49,56,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/321500/321584.2.png"
696401,M Jansen,allrounder,628333,SRH,17,16,8.13,0,23.3,3/16,166,18.44,54,149.54,31.62,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/337100/337189.1.png"
436757,H Klaasen,wicketkeeper,628333,SRH,58,0,14,0,,,1000,23.25,81,141.84,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322000/322073.1.png"
326016,B Kumar,bowler,628333,SRH,87,90,6.96,3,19.9,5/4,67,8.37,16,71.27,23.1,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/392400/392400.2.png"
1081442,M Markande,bowler,628333,SRH,1,0,7.75,0,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/355400/355403.1.png"
600498,AK Markram,allrounder,628333,SRH,57,13,8.54,0,26.3,3/21,1367,30.37,70,143.89,37.46,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322000/322067.1.png"
802575,T Natarajan,bowler,628333,SRH,4,7,7.62,0,13.7,3/30,,,,,17.42,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322600/322699.1.png"
1175496,K Nitish Kumar Reddy,allrounder,628333,SRH,4,3,7.88,0,18,2/23,90,45,74,180,23.66,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/390600/390655.2.png"
823509,GD Phillips,allrounder,628333,SRH,83,6,7.35,0,21.3,3/6,1929,31.11,108,140.59,26.16,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383167.1.png"
1132219,Sanvir Singh,allrounder,628333,SRH,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/359700/359765.1.png"
1159711,Shahbaz Ahmed,allrounder,628333,SRH,2,2,7.68,0,16,1/13,,,,,20.5,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/340300/340313.1.png"
919531,J Subramanyan,bowler,628333,SRH,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/361800/361882.6.png"
446763,RA Tripathi,batsmen,628333,SRH,5,0,,,,,97,19.4,44,144.77,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356821.1.png"
1246528,Umran Malik,bowler,628333,SRH,8,11,10.48,0,12.6,3/48,5,,4*,250,22.09,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/343200/343263.1.png"
390484,JD Unadkat,bowler,628333,SRH,10,14,8.68,0,14.8,3/38,,,,,21.5,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/386300/386332.5.png"
1153149,V Viyaskanth,bowler,628333,SRH,1,1,7,0,24,1/28,13,,13*,68.42,28,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/392100/392173.2.png"
719715,Washington Sundar,allrounder,628333,SRH,54,48,6.94,0,20.3,3/15,193,13.78,50,121.38,23.5,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322600/322619.1.png"
732269,UD Yadav,wicketkeeper,628333,SRH,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/395800/395894.4.png"
784379,PW Hasaranga,allrounder,628333,SRH,79,131,6.98,4,13.2,4/9,712,13.43,71,128.98,15.41,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322900/322946.1.png"
